selamat malam	Good night
I am still older than Ken.	Saya masih lebih tua berbanding dengan Ken.
Saya hanya berusia tiga puluh tahun.	I am only thirty years old.
I am only thirty years old.	Saya hanya berusia tiga puluh tahun.
Semua orang mahu kelihatan lebih muda tetapi itu adalah mustahil.	Everyone wants to look younger, but that’s impossible.
Everyone wants to look younger, but that’s impossible.	Semua orang mahu kelihatan lebih muda tetapi itu adalah mustahil.
Saya lebih tua berbanding dengan kamu tetapi semua orang kata saya kelihatan lebih muda.	I am older than you, but everyone says I look younger.
I am older than you, but everyone says I look younger.	Saya lebih tua berbanding dengan kamu tetapi semua orang kata saya kelihatan lebih muda.
Saya masih lebih muda berbanding dengan Ken.	I am still younger than Ken.
I am still younger than Ken.	Saya masih lebih muda berbanding dengan Ken.
Saya hanya berusia lima puluh tahun.	I am only fifty years old.
I am only fifty years old.	Saya hanya berusia lima puluh tahun.
Roti ini hanya dua bulan lamanya.	This bread is only two months old.
This bread is only two months old.	Roti ini hanya dua bulan lamanya.
Sudah berapa lamakah makanan yang sedang kamu makan itu?	How old is that food you are eating?
How old is that food you are eating?	Sudah berapa lamakah makanan yang sedang kamu makan itu?
Roti ini hanya dua tahun lamanya.	This bread is only two years old.
This bread is only two years old.	Roti ini hanya dua tahun lamanya.
Saya berumur empat tahun.	I am four years old.
I am four years old.	Saya berumur empat tahun.
Pada pendapat kamu, berapakah umur saya?	How old do you think I am?
How old do you think I am?	Pada pendapat kamu, berapakah umur saya?
Saya berumur lima puluh tahun.	I am fifty years old.
I am fifty years old.	Saya berumur lima puluh tahun.
Saya ingatkan awak adalah lebih muda berbanding dengan saya.	I thought you were younger than me.
I thought you were younger than me.	Saya ingatkan awak adalah lebih muda berbanding dengan saya.
Saya ingatkan awak adalah lebih tua berbanding dengan saya.	I thought you were older than me.
I thought you were older than me.	Saya ingatkan awak adalah lebih tua berbanding dengan saya.
Apa yang Erica tahu tentang diri dia sendiri?	What does Erica know about herself?
What does Erica know about herself?	Apa yang Erica tahu tentang diri dia sendiri?
Dia suka diri dia sendiri dan dia fikir dia hebat.	He loves himself and thinks he is awesome.
He loves himself and thinks he is awesome.	Dia suka diri dia sendiri dan dia fikir dia hebat.
Saya tidak suka rupa saya.	I don’t like how I look.
I don’t like how I look.	Saya tidak suka rupa saya.
Saya tidak suka cara saya bercakap.	I don’t like how I speak.
I don’t like how I speak.	Saya tidak suka cara saya bercakap.
Apa yang Erica fikir tentang diri dia sendiri?	What does Erica think about herself?
What does Erica think about herself?	Apa yang Erica fikir tentang diri dia sendiri?
Apakah yang kamu suka tentang diri kamu sendiri?	What do you like about yourself?
What do you like about yourself?	Apakah yang kamu suka tentang diri kamu sendiri?
Apakah yang kamu tidak suka tentang diri kamu sendiri?	What don’t you like about yourself?
What don’t you like about yourself?	Apakah yang kamu tidak suka tentang diri kamu sendiri?
teman wanita	girlfriend
girlfriend	teman wanita
isteri	wife
wife	isteri
anak	Children/son/daughter
Children/son/daughter	anak
kami	our
our	kami
pelik	strange
strange	pelik
musuh	enemy
enemy	musuh
suami	husband
husband	suami
anak lelaki	Son
Son	anak lelaki
buruk	bad
bad	buruk
nenek	grandmother
grandmother	nenek
datuk	datuk
datuk	datuk
anak perempuan	daughter
daughter	anak perempuan
ayah	Father
Father	ayah
ibu	Mother
Mother	ibu
teman lelaki	boyfriend
boyfriend	teman lelaki
ibu bapa	parents
parents	ibu bapa
kakak	Older sister
Older sister	kakak
bayi	baby
baby	bayi
abang	older brother
older brother	abang
adik perempuan	younger sister
younger sister	adik perempuan
hubungan	relationship
relationship	hubungan
pakcik	Uncle
Uncle	pakcik
makcik	Aunt
Aunt	makcik
adik lelaki	younger brother
younger brother	adik lelaki
kawan	Friend
Friend	kawan
Siapakah ini?	Who is this?
Who is this?	Siapakah ini?
Siapakah itu?	Who is that?
Who is that?	Siapakah itu?
Isteri saya berumur lima puluh tahun.	My wife is fifty years old.
My wife is fifty years old.	Isteri saya berumur lima puluh tahun.
Berapakah umur bayi kamu?	How old is your baby?
How old is your baby?	Berapakah umur bayi kamu?
Berapakah umur anak lelaki kamu?	How old is your son?
How old is your son?	Berapakah umur anak lelaki kamu?
Anak perempuan saya berumur lima puluh tahun.	My daughter is fifty years old.
My daughter is fifty years old.	Anak perempuan saya berumur lima puluh tahun.
Ini adalah kawan saya.	This is my friend.
This is my friend.	Ini adalah kawan saya.
Ini adalah kawan kami.	This is our friend.
This is our friend.	Ini adalah kawan kami.
Saya ke situ dengan kakak saya.	I went with my older sister.
I went with my older sister.	Saya ke situ dengan kakak saya.
Kamu pergi dengan siapa?	Whom did you go with?
Whom did you go with?	Kamu pergi dengan siapa?
Saya mempunyai hubungan yang buruk dengan ayah saya.	I have a bad relationship with my father.
I have a bad relationship with my father.	Saya mempunyai hubungan yang buruk dengan ayah saya.
Kamu makan dengan siapa?	Whom did you eat with?
Whom did you eat with?	Kamu makan dengan siapa?
Kawan saya pelik.	My friend is strange.
My friend is strange.	Kawan saya pelik.
Saya mempunyai hubungan yang baik dengan ayah saya.	I have a good relationship with my father.
I have a good relationship with my father.	Saya mempunyai hubungan yang baik dengan ayah saya.
Adik lelaki saya pelik.	My younger brother is strange.
My younger brother is strange.	Adik lelaki saya pelik.
Abang saya pelik.	My older brother is strange.
My older brother is strange.	Abang saya pelik.
Saya ke situ dengan suami saya.	I went with my husband.
I went with my husband.	Saya ke situ dengan suami saya.
Kami menelefon ibu bapa kami setiap bulan.	We call our parents every month.
We call our parents every month.	Kami menelefon ibu bapa kami setiap bulan.
Kami pergi ke restoran Cina.	We went to a Chinese restaurant.
We went to a Chinese restaurant.	Kami pergi ke restoran Cina.
Kawan kamu kelihatan seperti adik lelaki saya.	Your friend looks like my younger brother.
Your friend looks like my younger brother.	Kawan kamu kelihatan seperti adik lelaki saya.
Kami menelefon ibu bapa kami setiap tahun.	We call our parents every year.
We call our parents every year.	Kami menelefon ibu bapa kami setiap tahun.
Ke manakah kamu dan isterimu pergi?	Where did you and your wife go?
Where did you and your wife go?	Ke manakah kamu dan isterimu pergi?
Ke manakah kamu dan nenek pergi?	Where did you and your grandmother go?
Where did you and your grandmother go?	Ke manakah kamu dan nenek pergi?
Berapa kerapkah kamu menelefon datukmu?	How often do you call your grandfather?
How often do you call your grandfather?	Berapa kerapkah kamu menelefon datukmu?
Tahniah	Congratulations
Congratulations	Tahniah
keluarga	family
family	keluarga
Takziah	my condolences
my condolences	Takziah
rakan sekerja	coworker
coworker	rakan sekerja
bukti	evidence
evidence	bukti
berkahwin	to marry
to marry	berkahwin
majlis pengebumian	funeral
funeral	majlis pengebumian
memperkenalkan	To introduce
To introduce	memperkenalkan
kamu semua	you all
you all	kamu semua
pengijazahan	graduation
graduation	pengijazahan
sijil	certificate
certificate	sijil
mencari	To find
To find	mencari
majlis perkahwinan	wedding
wedding	majlis perkahwinan
majlis	ceremony
ceremony	majlis
membuktikan	To prove
To prove	membuktikan
bercinta	To date
To date	bercinta
perkahwinan	Marriage
Marriage	perkahwinan
menunjuk	To show
To show	menunjuk
Mereka tunjukkan saya.	They showed me.
They showed me.	Mereka tunjukkan saya.
Adakah kamu adik beradik?	Are you guys brothers?
Are you guys brothers?	Adakah kamu adik beradik?
Adakah kamu berdua sedang bercinta?	Are you guys dating?
Are you guys dating?	Adakah kamu berdua sedang bercinta?
Kami pernah menjadi suami isteri.	We were married.
We were married.	Kami pernah menjadi suami isteri.
Kami adalah sekeluarga dahulu.	We were family.
We were family.	Kami adalah sekeluarga dahulu.
Kami adalah suami isteri.	We are married.
We are married.	Kami adalah suami isteri.
Kami adalah sekeluarga.	We are family.
We are family.	Kami adalah sekeluarga.
Mereka telah memperkenalkan saya.	They introduced me.
They introduced me.	Mereka telah memperkenalkan saya.
Mereka tunjukkan kami.	They showed us.
They showed us.	Mereka tunjukkan kami.
Mereka telah memperkenalkan kami.	They introduced us.
They introduced us.	Mereka telah memperkenalkan kami.
Kita semua telah berkahwin.	We are all married.
We are all married.	Kita semua telah berkahwin.
Kita adalah sekeluarga.	We are all family.
We are all family.	Kita adalah sekeluarga.
Ini majlis pengebumian siapa?	Who is the funeral ceremony for?
Who is the funeral ceremony for?	Ini majlis pengebumian siapa?
Ini majlis pengijazahan siapa?	Who is the graduation ceremony for?
Who is the graduation ceremony for?	Ini majlis pengijazahan siapa?
Ini adalah majlis pengijazahan isteri saya	The graduation ceremony is for my wife.
The graduation ceremony is for my wife.	Ini adalah majlis pengijazahan isteri saya
Majlis perkahwinan ini adalah untuk rakan sekerja saya.Majlis perkahwinan ini adalah untuk rakan sekerja saya.	The wedding ceremony is for my coworker.
The wedding ceremony is for my coworker.	Majlis perkahwinan ini adalah untuk rakan sekerja saya.Majlis perkahwinan ini adalah untuk rakan sekerja saya.
Tahniah atas perkahwinan anda.	Congratulations on your wedding.
Congratulations on your wedding.	Tahniah atas perkahwinan anda.
Saya tidak dapat mencari sijil perkahwinan kita.	I can’t find our marriage certificate.
I can’t find our marriage certificate.	Saya tidak dapat mencari sijil perkahwinan kita.
Sila hubungi ibu bapa kami untuk mendapatkan sijil perkahwinan itu.	Please call our parents to get the marriage certificate.
Please call our parents to get the marriage certificate.	Sila hubungi ibu bapa kami untuk mendapatkan sijil perkahwinan itu.
Kamu perlu pulang ke Israel jika kamu gagal menunjukkan bukti.	If you can’t show evidence, then you have to return to Israel.
If you can’t show evidence, then you have to return to Israel.	Kamu perlu pulang ke Israel jika kamu gagal menunjukkan bukti.
Tahniah atas pengijazahan anda.	Congratulations on your graduation.
Congratulations on your graduation.	Tahniah atas pengijazahan anda.
Sila tunjukkan bukti bahawa kamu berdua adalah suami isteri.	Please show us evidence to prove that you guys are married.
Please show us evidence to prove that you guys are married.	Sila tunjukkan bukti bahawa kamu berdua adalah suami isteri.
pembunuh	murderer
murderer	pembunuh
askar	soldier
soldier	askar
penipu	liar
liar	penipu
presiden	president
president	presiden
mencuba	To try
To try	mencuba
tuhan	God
God	tuhan
pencuri	Thief
Thief	pencuri
menjengkelkan	Annoying
Annoying	menjengkelkan
terkenal	Famous
Famous	terkenal
bodoh	Dumb
Dumb	bodoh
gila	Crazy
Crazy	gila
pekerjaan	Job
Job	pekerjaan
orang asing	Stranger
Stranger	orang asing
mencuri	To steal
To steal	mencuri
gengster	gangster
gangster	gengster
pelakon	Actor
Actor	pelakon
bintang pop	Pop Star
Pop Star	bintang pop
Jenis apa?	What kind?
What kind?	Jenis apa?
_____ku	My
My	_____ku
jurujual	salesman
salesman	jurujual
pemandu	Driver
Driver	pemandu
peragawati	model
model	peragawati
penghibur	Entertainer
Entertainer	penghibur
jahat	Evil
Evil	jahat
Kawanku bintang pop.	My friend is a pop star.
My friend is a pop star.	Kawanku bintang pop.
Isteriku bintang pop.	My wife is a pop star.
My wife is a pop star.	Isteriku bintang pop.
Isteriku gengster.	My wife is a gangster.
My wife is a gangster.	Isteriku gengster.
Dia kelihatan seperti seorang pembunuh.	She looks like a murderer.
She looks like a murderer.	Dia kelihatan seperti seorang pembunuh.
Dia kelihatan seperti seorang pemandu.	She looks like a driver.
She looks like a driver.	Dia kelihatan seperti seorang pemandu.
Erica kelihatan seperti seorang pemandu.	Erica looks like a driver.
Erica looks like a driver.	Erica kelihatan seperti seorang pemandu.
Kawanku gengster.	My friend is a gangster.
My friend is a gangster.	Kawanku gengster.
Erica kelihatan seperti seorang pembunuh.	Erica looks like a murderer.
Erica looks like a murderer.	Erica kelihatan seperti seorang pembunuh.
Saya ingin menjadi seorang askar.	I want to be a soldier.
I want to be a soldier.	Saya ingin menjadi seorang askar.
Apakah jenis pekerjaan yang kamu ingini?	What kind of job do you want?
What kind of job do you want?	Apakah jenis pekerjaan yang kamu ingini?
Siapakah itu?	Who is that?
Who is that?	Siapakah itu?
Pencuri gila itu cuba untuk mencuri dompet presiden.	That crazy thief tried to steal the presidents wallet.
That crazy thief tried to steal the presidents wallet.	Pencuri gila itu cuba untuk mencuri dompet presiden.
Pencuri bodoh itu cuba untuk mencuri dompet presiden.	That dumb thief tried to steal the presidents wallet.
That dumb thief tried to steal the presidents wallet.	Pencuri bodoh itu cuba untuk mencuri dompet presiden.
Saya ingin menjadi seorang jurujual.	I want to be a salesman.
I want to be a salesman.	Saya ingin menjadi seorang jurujual.
Dia adalah seorang pelakon yang terkenal.	That is a famous actor.
That is a famous actor.	Dia adalah seorang pelakon yang terkenal.
Dia adalah seorang penghibur yang terkenal.	That is a famous entertainer.
That is a famous entertainer.	Dia adalah seorang penghibur yang terkenal.
Apakah pendapat kamu tentang Erica?	What do you think of Erica?
What do you think of Erica?	Apakah pendapat kamu tentang Erica?
Saya ingat Erica pernah kata dia adalah seorang penipu.	I think Erica said she’s a liar.
I think Erica said she’s a liar.	Saya ingat Erica pernah kata dia adalah seorang penipu.
Saya ingat Erica pernah kata dia adalah seorang pencuri.	I think Erica said she’s a thief.
I think Erica said she’s a thief.	Saya ingat Erica pernah kata dia adalah seorang pencuri.
Pada pendapat saya, dia tidak bodoh.	I don’t think she’s dumb.
I don’t think she’s dumb.	Pada pendapat saya, dia tidak bodoh.
Pada pendapat saya, dia tidak menjengkelkan.	I don’t think she’s annoying.
I don’t think she’s annoying.	Pada pendapat saya, dia tidak menjengkelkan.
Apakah jenis pekerjaan Erica?	What kind of work does Erica do?
What kind of work does Erica do?	Apakah jenis pekerjaan Erica?
Pada pendapat saya, dia tidak jahat.	I don’t think she’s evil.
I don’t think she’s evil.	Pada pendapat saya, dia tidak jahat.
Saya ingat Erica pernah kata dia adalah seorang pelakon.	I think she said that she’s an actor.
I think she said that she’s an actor.	Saya ingat Erica pernah kata dia adalah seorang pelakon.
Awak kelihatan seperti seorang pembunuh.	You look like a murderer.
You look like a murderer.	Awak kelihatan seperti seorang pembunuh.
Pelakon adalah seorang penghibur dalam televisyen.	An actor is a person who is an entertainer on television.
An actor is a person who is an entertainer on television.	Pelakon adalah seorang penghibur dalam televisyen.
Awak kelihatan seperti seorang pelakon.	You look like an actor.
You look like an actor.	Awak kelihatan seperti seorang pelakon.
Awak kelihatan seperti seorang peragawati.	You look like a model.
You look like a model.	Awak kelihatan seperti seorang peragawati.
Saya tidak berfikiran begitu.	I don’t think so.
I don’t think so.	Saya tidak berfikiran begitu.
Awak kelihatan seperti seorang jurujual.	You look like a salesman.
You look like a salesman.	Awak kelihatan seperti seorang jurujual.
Awak kelihatan seperti seorang samseng.	You look like a gangster.
You look like a gangster.	Awak kelihatan seperti seorang samseng.
sopan	polite
polite	sopan
memaafkan	to forgive
to forgive	memaafkan
melupakan	to forget
to forget	melupakan
mengingati	To remember
To remember	mengingati
membosankan	To bore
To bore	membosankan
mencintai	
	mencintai
bergurau dengan	To joke with
To joke with	bergurau dengan
membunuh	To kill
To kill	membunuh
menumbuk	To punch
To punch	menumbuk
memeluk	To hug
To hug	memeluk
memberitahu	To tell
To tell	memberitahu
menyentuh	To touch
To touch	menyentuh
menjengkelkan	To annoy
To annoy	menjengkelkan
mengelirukan	to confuse
to confuse	mengelirukan
mencium	To kiss
To kiss	mencium
biadap	Rude
Rude	biadap
menipu	To lie
To lie	menipu
mengusik	To make fun of
To make fun of	mengusik
keluar bersama	To hang out
To hang out	keluar bersama
bersenam	To exercise
To exercise	bersenam
mengajar	To teach
To teach	mengajar
Sudikah kamu mengajar saya?	Will you teach me please?
Will you teach me please?	Sudikah kamu mengajar saya?
Tolong jangan menyentuh saya.	Please don’t touch me.
Please don’t touch me.	Tolong jangan menyentuh saya.
Tolong jangan membunuh saya.	Please don’t kill me.
Please don’t kill me.	Tolong jangan membunuh saya.
Sudikah kamu memaafkan saya?	Will you forgive me please?
Will you forgive me please?	Sudikah kamu memaafkan saya?
Tolong jangan membosankan saya.	Please don’t bore me.
Please don’t bore me.	Tolong jangan membosankan saya.
Sudikah kamu menolong saya?	Will you help me please?
Will you help me please?	Sudikah kamu menolong saya?
Sudikah kamu memperkenalkan saya?	Will you introduce me please?
Will you introduce me please?	Sudikah kamu memperkenalkan saya?
Tolong jangan mengusik saya.	Please don’t make fun of me.
Please don’t make fun of me.	Tolong jangan mengusik saya.
Sudikah kamu berkahwin dengan saya?	Will you marry me please?
Will you marry me please?	Sudikah kamu berkahwin dengan saya?
Tolong jangan menjengkelkan saya.	Please don’t annoy me.
Please don’t annoy me.	Tolong jangan menjengkelkan saya.
Saya boleh memaafkannya walaupun dia menumbuk saya.	I can forgive him for punching me.
I can forgive him for punching me.	Saya boleh memaafkannya walaupun dia menumbuk saya.
Ken kata dia ingin keluar bersama saya.	Ken said he wants to hang out with me.
Ken said he wants to hang out with me.	Ken kata dia ingin keluar bersama saya.
Kamu tidak patut melupakan dia.	You should not forget her.
You should not forget her.	Kamu tidak patut melupakan dia.
Tetapi saya tidak tahu jika saya boleh memaafkannya kerana dia menipu saya.	But I don’t know if I can forgive him for lying to me.
But I don’t know if I can forgive him for lying to me.	Tetapi saya tidak tahu jika saya boleh memaafkannya kerana dia menipu saya.
Ken kata dia ingin bercinta dengan saya.	Ken said he wants to date me.
Ken said he wants to date me.	Ken kata dia ingin bercinta dengan saya.
Ken kata dia ingin bercakap dengan saya.	Ken said he wants to speak with me.
Ken said he wants to speak with me.	Ken kata dia ingin bercakap dengan saya.
Kamu patut memaafkan dia tetapi itu tidak bermaksud kamu patut berkahwin dengannya.	You should forgive him, but that does not mean you should marry him.
You should forgive him, but that does not mean you should marry him.	Kamu patut memaafkan dia tetapi itu tidak bermaksud kamu patut berkahwin dengannya.
Saya tahu saya boleh memaafkannya walaupun dia mengusik saya.	I know I can forgive her for making fun of me.
I know I can forgive her for making fun of me.	Saya tahu saya boleh memaafkannya walaupun dia mengusik saya.
Sila mengajar saya bahasa Inggeris yang biadap.	Please teach me rude English.
Please teach me rude English.	Sila mengajar saya bahasa Inggeris yang biadap.
Saya tidak ingat nama dia.	I don’t remember his name.
I don’t remember his name.	Saya tidak ingat nama dia.
Saya ingin keluar bersama kamu.	I want to hang out with you.
I want to hang out with you.	Saya ingin keluar bersama kamu.
Sila mengajar saya bahasa Inggeris yang sopan.	Please teach me polite English.
Please teach me polite English.	Sila mengajar saya bahasa Inggeris yang sopan.
Maafkan saya kerana mengelirukan kamu.	I’m sorry I confused you.
I’m sorry I confused you.	Maafkan saya kerana mengelirukan kamu.
Saya ingin menumbuk kamu.	I want to punch you.
I want to punch you.	Saya ingin menumbuk kamu.
Sila memberitahu dia bahawa saya boleh keluar bersama dengannya.	Please tell her that I can hang out.
Please tell her that I can hang out.	Sila memberitahu dia bahawa saya boleh keluar bersama dengannya.
Sila memberitahu Ken bahawa saya tidak boleh bersenam bersama dengannya kerana saya sibuk.	Please tell Ken that I can’t exercise with him because I am busy.
Please tell Ken that I can’t exercise with him because I am busy.	Sila memberitahu Ken bahawa saya tidak boleh bersenam bersama dengannya kerana saya sibuk.
Saya tidak mahu menjengkelkan kamu.	I don’t want to annoy you.
I don’t want to annoy you.	Saya tidak mahu menjengkelkan kamu.
Saya tidak mahu membosankan kamu.	I don’t want to bore you.
I don’t want to bore you.	Saya tidak mahu membosankan kamu.
Saya tidak mahu keluar bersama kamu.	I don’t want to hang out with you.
I don’t want to hang out with you.	Saya tidak mahu keluar bersama kamu.
Saya marah tetapi saya akan memaafkan kamu jika kamu memeluk saya.	I am angry, but I will forgive you if you hug me.
I am angry, but I will forgive you if you hug me.	Saya marah tetapi saya akan memaafkan kamu jika kamu memeluk saya.
Dia akan memaafkan kamu jika kamu mencium dia.	She will forgive you if you kiss her.
She will forgive you if you kiss her.	Dia akan memaafkan kamu jika kamu mencium dia.
Saya tidak mahu mengelirukan kamu.	I don’t want to confuse you.
I don’t want to confuse you.	Saya tidak mahu mengelirukan kamu.
tidak begitu	not very
not very	tidak begitu
lucu	funny
funny	lucu
baik hati	kind
kind	baik hati
bosan	Boring
Boring	bosan
menarik	interesting
interesting	menarik
biasanya	Usually
Usually	biasanya
marah	Angry
Angry	marah
menangis	To cry
To cry	menangis
senyap	Quiet
Quiet	senyap
jahat	Mean
Mean	jahat
sedih	Sad
Sad	sedih
miskin	Poor
Poor	miskin
menyebabkan	To cause
To cause	menyebabkan
kuat	Loud
Loud	kuat
gembira	Happy
Happy	gembira
kaya	Rich
Rich	kaya
Perhubungan	Relationships
Relationships	Perhubungan
Time	Masa
Masa	Time
Numbers	Angka
Angka	Numbers
Greetings	Memberi Salam
Memberi Salam	Greetings
The Basics	Asas
Asas	The Basics
murah hati	generous
generous	murah hati
kedekut	miserly (stingy)
miserly (stingy)	kedekut
perangai	personality
personality	perangai
terlalu banyak	Too much
Too much	terlalu banyak
cerdik	smart
smart	cerdik
menakutkan	To scare
To scare	menakutkan
oleh kerana	Since
Since	oleh kerana
bodoh	Foolish
Foolish	bodoh
Ia adalah biadap untuk bercakap terlalu banyak.	It is rude to speak too much.
It is rude to speak too much.	Ia adalah biadap untuk bercakap terlalu banyak.
Dia kaya tetapi tidak begitu baik hati.	He’s rich, but not very kind.
He’s rich, but not very kind.	Dia kaya tetapi tidak begitu baik hati.
Saya hendak mengahwini seseorang yang kaya dan gembira.	I want to marry someone who is rich and happy.
I want to marry someone who is rich and happy.	Saya hendak mengahwini seseorang yang kaya dan gembira.
Ia adalah biadap untuk bercakap terlalu kuat.	It is rude to speak too loud.
It is rude to speak too loud.	Ia adalah biadap untuk bercakap terlalu kuat.
Dia kaya tetapi tidak begitu kedekut.	He’s rich, but not very miserly.
He’s rich, but not very miserly.	Dia kaya tetapi tidak begitu kedekut.
Kamu tidak patut berkahwin dengan seseorang hanya kerana mereka cerdik.	You should not marry someone because they are smart.
You should not marry someone because they are smart.	Kamu tidak patut berkahwin dengan seseorang hanya kerana mereka cerdik.
Kamu tidak patut berkahwin dengan seseorang hanya kerana mereka kaya.	You should not marry someone because they are rich.
You should not marry someone because they are rich.	Kamu tidak patut berkahwin dengan seseorang hanya kerana mereka kaya.
Saya hendak mengahwini seseorang yang kaya dan menarik.	I want to marry someone who is rich and interesting.
I want to marry someone who is rich and interesting.	Saya hendak mengahwini seseorang yang kaya dan menarik.
Erica biasanya senyap kerana dia senang menjadi takut.	Erica is usually quiet since she gets scared too much.
Erica is usually quiet since she gets scared too much.	Erica biasanya senyap kerana dia senang menjadi takut.
Kamu selalu membuat dia marah.	You always cause him to be angry.
You always cause him to be angry.	Kamu selalu membuat dia marah.
Saya akan mencuba untuk menjadi lebih bersopan terhadapnya.	Saya akan mencuba untuk menjadi lebih bersopan terhadapnya.
Saya akan mencuba untuk menjadi lebih bersopan terhadapnya.	Saya akan mencuba untuk menjadi lebih bersopan terhadapnya.
Saya akan mencuba untuk menjadi lebih baik terhadapnya.	I will try to be more kind to her.
I will try to be more kind to her.	Saya akan mencuba untuk menjadi lebih baik terhadapnya.
Erica biasanya senyap kerana dia senang menjadi keliru.	Erica is usually quiet since she gets confused too much.
Erica is usually quiet since she gets confused too much.	Erica biasanya senyap kerana dia senang menjadi keliru.
Kamu selalu membuat dia sedih kerana kamu jahat terhadapnya.	You always cause her to be sad because you are mean.
You always cause her to be sad because you are mean.	Kamu selalu membuat dia sedih kerana kamu jahat terhadapnya.
"Apakah maksud perkataan ""miskin""?"	What does the word “poor” mean?
What does the word “poor” mean?	"Apakah maksud perkataan ""miskin""?"
Pada pendapat saya, dia tidaklah begitu membosankan.	I don’t think she’s too boring.
I don’t think she’s too boring.	Pada pendapat saya, dia tidaklah begitu membosankan.
Seseorang adalah bodoh jika dia itu tidak begitu cerdik.	Someone is foolish if they are not very smart.
Someone is foolish if they are not very smart.	Seseorang adalah bodoh jika dia itu tidak begitu cerdik.
"Maksud ""miskin"" ialah kata lawan kaya."	“Poor” means the opposite of rich.
“Poor” means the opposite of rich.	"Maksud ""miskin"" ialah kata lawan kaya."
Pada pendapat kamu, adakah dia terlalu kedekut?	Do you think she’s too miserly?
Do you think she’s too miserly?	Pada pendapat kamu, adakah dia terlalu kedekut?
Pada pendapat saya, dia tidaklah begitu senyap.	I don’t think she’s too quiet.
I don’t think she’s too quiet.	Pada pendapat saya, dia tidaklah begitu senyap.
Seseorang adalah jahat jika dia itu tidak begitu baik hati.	Someone is mean if they are not very kind.
Someone is mean if they are not very kind.	Seseorang adalah jahat jika dia itu tidak begitu baik hati.
Pada pendapat kamu, adakah dia bercakap dengan terlalu kuat?	Do you think she’s too loud?
Do you think she’s too loud?	Pada pendapat kamu, adakah dia bercakap dengan terlalu kuat?
Saya suka perangai Erica yang lucu.	I like Erica’s funny personality.
I like Erica’s funny personality.	Saya suka perangai Erica yang lucu.
Sila cuba untuk menjadi lebih jahat.	Please try to be more mean.
Please try to be more mean.	Sila cuba untuk menjadi lebih jahat.
Sila cuba untuk menjadi kurang jahat.	Please try to be less mean.
Please try to be less mean.	Sila cuba untuk menjadi kurang jahat.
Sila cuba untuk menjadi kurang baik hati.	Please try to be less kind.
Please try to be less kind.	Sila cuba untuk menjadi kurang baik hati.
Saya keliru.	I am confused.
I am confused.	Saya keliru.
Saya suka perangai Erica yang gembira.	I like Erica’s happy personality.
I like Erica’s happy personality.	Saya suka perangai Erica yang gembira.
Saya bosan.	I am bored.
I am bored.	Saya bosan.
Sila cuba untuk menjadi lebih baik hati.	Please try to be more kind.
Please try to be more kind.	Sila cuba untuk menjadi lebih baik hati.
kulit	leather
leather	kulit
mendengar	To listen/ to hear
To listen/ to hear	mendengar
benar	real
real	benar
palsu	Fake
Fake	palsu
tengok	To look/ to see
To look/ to see	tengok
hanya bergurau	Just Kidding
Just Kidding	hanya bergurau
hebatnya	Wow
Wow	hebatnya
terkejut	to surprise
to surprise	terkejut
pokok	Tree
Tree	pokok
benar-benar	Really
Really	benar-benar
berhati-hati	To look out
To look out	berhati-hati
bunga	Flower
Flower	bunga
alamak	Oops
Oops	alamak
meneka	to guess
to guess	meneka
Apakah masalahnya?	What’s wrong?
What’s wrong?	Apakah masalahnya?
pergi dahulu	To go ahead
To go ahead	pergi dahulu
um	Um
Um	um
hey	Hey
Hey	hey
tidak!	No way!
No way!	tidak!
huh?	Huh?
Huh?	huh?
Saya rasa itu adalah benar.	I think it is real.
I think it is real.	Saya rasa itu adalah benar.
Pokok siapakah itu?	Whose tree is that?
Whose tree is that?	Pokok siapakah itu?
Kamu rasa pokok itu benar?	Do you think that tree is real?
Do you think that tree is real?	Kamu rasa pokok itu benar?
Surat siapakah itu?	Whose mail is that?
Whose mail is that?	Surat siapakah itu?
Bunga itu adalah kepunyaan dia.	The flower is hers.
The flower is hers.	Bunga itu adalah kepunyaan dia.
Saya rasa itu adalah palsu.	I think it is fake.
I think it is fake.	Saya rasa itu adalah palsu.
Kamu rasa pokok itu palsu?	Do you think that tree is fake?
Do you think that tree is fake?	Kamu rasa pokok itu palsu?
Cuba menyentuhnya dan tengok sama ada ia benar atau tidak.	Touch it to see if it is real.
Touch it to see if it is real.	Cuba menyentuhnya dan tengok sama ada ia benar atau tidak.
Adakah kamu lebih suka bunga sebenar ataupun bunga palsu?	Do you like real or fake flowers better?
Do you like real or fake flowers better?	Adakah kamu lebih suka bunga sebenar ataupun bunga palsu?
Kulit itu nampaknya kurang tulen berbanding dengan kulit ini.	That leather looks less real than this leather.
That leather looks less real than this leather.	Kulit itu nampaknya kurang tulen berbanding dengan kulit ini.
Saya benar-benar tidak suka akan kulit palsu.	I really don’t like fake leather.
I really don’t like fake leather.	Saya benar-benar tidak suka akan kulit palsu.
Adakah kamu lebih suka pokok sebenar ataupun pokok palsu?	Do you like real or fake trees better?
Do you like real or fake trees better?	Adakah kamu lebih suka pokok sebenar ataupun pokok palsu?
Saya benar-benar tidak suka akan pokok palsu.	I really don’t like fake trees.
I really don’t like fake trees.	Saya benar-benar tidak suka akan pokok palsu.
Adakah kamu benar-benar berfikiran begitu?	Do you really think so?
Do you really think so?	Adakah kamu benar-benar berfikiran begitu?
